Package,Built
abind,3.4.0
ape,3.4.3
assertthat,3.4.0
backports,3.4.3
base64enc,3.4.0
BH,3.4.1
biclust,3.4.2
bindr,3.4.0
bindrcpp,3.4.0
bitops,3.4.0
blogdown,3.4.3
bookdown,3.4.1
brew,3.4.0
broom,3.4.3
callr,3.4.3
caTools,3.4.0
cellranger,3.4.0
censusapi,3.4.1
classInt,3.4.0
cli,3.4.3
clipr,3.4.3
clisymbols,3.4.3
cluster,3.4.2
coda,3.4.0
colorspace,3.4.0
crayon,3.4.2
crosstalk,3.4.0
curl,3.4.3
data.table,3.4.3
DBI,3.4.0
dbplyr,3.4.3
debugme,3.4.3
deldir,3.4.0
DEoptimR,3.4.1
desc,3.4.3
devtools,3.4.3
dichromat,3.4.0
digest,3.4.3
diptest,3.4.1
doParallel,3.4.2
dplyr,3.4.3
DT,3.4.1
e1071,3.4.0
enc,3.4.3
evaluate,3.4.0
expm,3.4.0
filehash,3.4.1
flexclust,3.4.2
flexdashboard,3.4.3
flexmix,3.4.2
forcats,3.4.0
foreach,3.4.3
formatR,3.4.0
fpc,3.4.2
fs,3.4.3
gdalUtils,3.4.0
gdata,3.4.0
geojson,3.4.3
geojsonio,3.4.3
geojsonlint,3.4.0
geosphere,3.4.3
ggforce,3.4.2
ggplot2,3.4.0
ggraph,3.4.2
ggrepel,3.4.2
ggvis,3.4.1
gh,3.4.3
git2r,3.4.3
glue,3.4.3
gmodels,3.4.0
goftest,3.4.0
googlesheets,3.4.1
gridBase,3.4.2
gridExtra,3.4.1
gtable,3.4.0
gtools,3.4.0
gutenbergr,3.4.2
haven,3.4.1
here,3.4.3
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
igraph,3.4.2
igraphdata,3.4.2
ini,3.4.3
irlba,3.4.3
isa2,3.4.2
ISOcodes,3.4.1
iterators,3.4.3
janeaustenr,3.4.2
jqr,3.4.3
jsonlite,3.4.0
jsonvalidate,3.4.0
kernlab,3.4.1
knitr,3.4.3
labeling,3.4.0
lazyeval,3.4.3
leaflet,3.4.0
LearnBayes,3.4.0
lubridate,3.4.3
magrittr,3.4.0
maptools,3.4.0
mapview,3.4.3
markdown,3.4.0
mclust,3.4.3
memoise,3.4.0
mime,3.4.0
miniUI,3.4.0
mnormt,3.4.0
modelr,3.4.1
modeltools,3.4.1
munsell,3.4.0
mvtnorm,3.4.1
NLP,3.4.1
NMF,3.4.2
osmar,3.4.0
pillar,3.4.3
pkgconfig,3.4.0
pkgmaker,3.4.2
plogr,3.4.0
plyr,3.4.0
png,3.4.1
polyclip,3.4.0
prabclus,3.4.2
praise,3.4.2
processx,3.4.3
protolite,3.4.1
psych,3.4.1
purrr,3.4.3
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.3
R6,3.4.0
rappdirs,3.4.0
raster,3.4.3
Rcampdf,3.4.0
RColorBrewer,3.4.1
Rcpp,3.4.3
RCurl,3.4.3
readr,3.4.0
readxl,3.4.0
registry,3.4.3
rematch,3.4.0
rematch2,3.4.3
reprex,3.4.3
reshape2,3.4.3
rgdal,3.4.3
rgeos,3.4.3
rgl,3.4.3
rlang,3.4.3
rmapshaper,3.4.1
rmarkdown,3.4.3
rngtools,3.4.2
rprojroot,3.4.3
rstudioapi,3.4.1
rvest,3.4.0
satellite,3.4.3
scales,3.4.1
selectr,3.4.0
servr,3.4.3
sessioninfo,3.4.3
sf,3.4.3
shiny,3.4.1
slam,3.4.3
SnowballC,3.4.1
sotu,3.4.1
sourcetools,3.4.0
sp,3.4.3
spatstat,3.4.3
spatstat.data,3.4.3
spatstat.utils,3.4.3
spData,3.4.3
spdep,3.4.3
stopwords,3.4.3
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
tensor,3.4.0
testthat,3.4.3
tibble,3.4.3
tidycensus,3.4.3
tidyr,3.4.3
tidyselect,3.4.3
tidytext,3.4.3
tidyverse,3.4.3
tigris,3.4.3
tm,3.4.3
tmap,3.4.3
tmaptools,3.4.3
tokenizers,3.4.2
topicmodels,3.4.3
triebeard,3.4.2
trimcluster,3.4.2
tweenr,3.4.2
udunits2,3.4.0
units,3.4.3
urltools,3.4.2
usethis,3.4.3
utf8,3.4.3
uuid,3.4.0
V8,3.4.0
viridis,3.4.3
viridisLite,3.4.0
webshot,3.4.3
whisker,3.4.0
widyr,3.4.2
withr,3.4.3
wordcloud,3.4.2
xaringan,3.4.1
XML,3.4.0
xml2,3.4.0
xtable,3.4.0
yaml,3.4.3
