Package,LibPath,Version,Priority,Built
abind,C:/Users/jrl/Documents/R/win-library/3.4,1.4-5,NA,3.4.0
ape,C:/Users/jrl/Documents/R/win-library/3.4,5.0,NA,3.4.3
assertthat,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
backports,C:/Users/jrl/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
base64enc,C:/Users/jrl/Documents/R/win-library/3.4,0.1-3,NA,3.4.0
BH,C:/Users/jrl/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
biclust,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
bindr,C:/Users/jrl/Documents/R/win-library/3.4,0.1,NA,3.4.0
bindrcpp,C:/Users/jrl/Documents/R/win-library/3.4,0.2,NA,3.4.0
bitops,C:/Users/jrl/Documents/R/win-library/3.4,1.0-6,NA,3.4.0
blogdown,C:/Users/jrl/Documents/R/win-library/3.4,0.4,NA,3.4.3
bookdown,C:/Users/jrl/Documents/R/win-library/3.4,0.5,NA,3.4.1
brew,C:/Users/jrl/Documents/R/win-library/3.4,1.0-6,NA,3.4.0
broom,C:/Users/jrl/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
callr,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
caTools,C:/Users/jrl/Documents/R/win-library/3.4,1.17.1,NA,3.4.0
cellranger,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.0
censusapi,C:/Users/jrl/Documents/R/win-library/3.4,0.2.1,NA,3.4.1
classInt,C:/Users/jrl/Documents/R/win-library/3.4,0.1-24,NA,3.4.0
cli,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
clipr,C:/Users/jrl/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
clisymbols,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
cluster,C:/Users/jrl/Documents/R/win-library/3.4,2.0.6,recommended,3.4.2
coda,C:/Users/jrl/Documents/R/win-library/3.4,0.19-1,NA,3.4.0
colorspace,C:/Users/jrl/Documents/R/win-library/3.4,1.3-2,NA,3.4.0
crayon,C:/Users/jrl/Documents/R/win-library/3.4,1.3.4,NA,3.4.2
crosstalk,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.0
curl,C:/Users/jrl/Documents/R/win-library/3.4,3.1,NA,3.4.3
data.table,C:/Users/jrl/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
DBI,C:/Users/jrl/Documents/R/win-library/3.4,0.7,NA,3.4.0
dbplyr,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
debugme,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
deldir,C:/Users/jrl/Documents/R/win-library/3.4,0.1-14,NA,3.4.0
DEoptimR,C:/Users/jrl/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
desc,C:/Users/jrl/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/jrl/Documents/R/win-library/3.4,1.13.4,NA,3.4.3
dichromat,C:/Users/jrl/Documents/R/win-library/3.4,2.0-0,NA,3.4.0
digest,C:/Users/jrl/Documents/R/win-library/3.4,0.6.14,NA,3.4.3
diptest,C:/Users/jrl/Documents/R/win-library/3.4,0.75-7,NA,3.4.1
doParallel,C:/Users/jrl/Documents/R/win-library/3.4,1.0.11,NA,3.4.2
dplyr,C:/Users/jrl/Documents/R/win-library/3.4,0.7.4,NA,3.4.3
DT,C:/Users/jrl/Documents/R/win-library/3.4,0.2,NA,3.4.1
e1071,C:/Users/jrl/Documents/R/win-library/3.4,1.6-8,NA,3.4.0
enc,C:/Users/jrl/Documents/R/win-library/3.4,0.1,NA,3.4.3
evaluate,C:/Users/jrl/Documents/R/win-library/3.4,0.10.1,NA,3.4.0
expm,C:/Users/jrl/Documents/R/win-library/3.4,0.999-2,NA,3.4.0
filehash,C:/Users/jrl/Documents/R/win-library/3.4,2.4-1,NA,3.4.1
flexclust,C:/Users/jrl/Documents/R/win-library/3.4,1.3-4,NA,3.4.2
flexdashboard,C:/Users/jrl/Documents/R/win-library/3.4,0.5.1,NA,3.4.3
flexmix,C:/Users/jrl/Documents/R/win-library/3.4,2.3-14,NA,3.4.2
forcats,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
foreach,C:/Users/jrl/Documents/R/win-library/3.4,1.4.4,NA,3.4.3
formatR,C:/Users/jrl/Documents/R/win-library/3.4,1.5,NA,3.4.0
fpc,C:/Users/jrl/Documents/R/win-library/3.4,2.1-10,NA,3.4.2
fs,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
gdalUtils,C:/Users/jrl/Documents/R/win-library/3.4,2.0.1.7,NA,3.4.0
gdata,C:/Users/jrl/Documents/R/win-library/3.4,2.18.0,NA,3.4.0
geojson,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
geojsonio,C:/Users/jrl/Documents/R/win-library/3.4,0.5.0,NA,3.4.3
geojsonlint,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
geosphere,C:/Users/jrl/Documents/R/win-library/3.4,1.5-7,NA,3.4.3
ggforce,C:/Users/jrl/Documents/R/win-library/3.4,0.1.1,NA,3.4.2
ggplot2,C:/Users/jrl/Documents/R/win-library/3.4,2.2.1.9000,NA,3.4.0
ggraph,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
ggrepel,C:/Users/jrl/Documents/R/win-library/3.4,0.7.0,NA,3.4.2
ggvis,C:/Users/jrl/Documents/R/win-library/3.4,0.4.3,NA,3.4.1
gh,C:/Users/jrl/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
git2r,C:/Users/jrl/Documents/R/win-library/3.4,0.21.0,NA,3.4.3
glue,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
gmodels,C:/Users/jrl/Documents/R/win-library/3.4,2.16.2,NA,3.4.0
goftest,C:/Users/jrl/Documents/R/win-library/3.4,1.1-1,NA,3.4.0
googlesheets,C:/Users/jrl/Documents/R/win-library/3.4,0.2.2,NA,3.4.1
gridBase,C:/Users/jrl/Documents/R/win-library/3.4,0.4-7,NA,3.4.2
gridExtra,C:/Users/jrl/Documents/R/win-library/3.4,2.3,NA,3.4.1
gtable,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
gtools,C:/Users/jrl/Documents/R/win-library/3.4,3.5.0,NA,3.4.0
gutenbergr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.3,NA,3.4.2
haven,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
here,C:/Users/jrl/Documents/R/win-library/3.4,0.1,NA,3.4.3
